asset,horizon,model,condition,n,accuracy,pt_stat,pt_p,pt_hit_rate,pt_n,brier,n_trades,turnover,sharpe,sortino,max_drawdown,cagr,final_equity,bh_sharpe,bh_cagr,bh_final_equity,pt_p_fdr
SPY,daily,baseline_always_up,news_only,138,0.35507246376811596,,,0.5903614457831325,83,0.697463768115942,137,0.0072992700729927005,0.9917802701661206,1.0064547465333937,-0.09133132097249064,0.12667830239974687,1.0722962789220758,1.005380672985507,0.12773595222979583,1.0733729193890746,
SPY,daily,baseline_buy_hold,news_only,138,0.35507246376811596,,,0.5903614457831325,83,0.697463768115942,137,0.0072992700729927005,0.9917802701661206,1.0064547465333937,-0.09133132097249064,0.12667830239974687,1.0722962789220758,1.005380672985507,0.12773595222979583,1.0733729193890746,
SPY,daily,baseline_random,news_only,138,0.41304347826086957,2.465989045969207,0.006831775633667555,0.6730769230769231,52,0.6622488811251572,137,0.8759124087591241,-0.6601301482586631,-0.7029502409331401,-0.10151975089510556,-0.07487697587500175,0.9588671818438622,1.005380672985507,0.12773595222979583,1.0733729193890746,0.12980373703968354
SPY,daily,baseline_momentum,news_only,138,0.2536231884057971,-1.5215133388605853,0.9359344667291575,0.42168674698795183,83,0.7794788325319675,137,1.0,-0.12727057461845978,-0.12151828963948011,-0.13540027488251616,-0.015617284973835077,0.9851484053869676,1.005380672985507,0.12773595222979583,1.0733729193890746,0.9836640116500178
SPY,daily,baseline_sentiment,news_only,138,0.35507246376811596,,,0.5903614457831325,83,0.8234455208310799,137,0.0072992700729927005,0.9917802701661206,1.0064547465333937,-0.09133132097249064,0.12667830239974687,1.0722962789220758,1.005380672985507,0.12773595222979583,1.0733729193890746,
SPY,daily,claude_opus:P0,news_plus_price,138,0.36231884057971014,-0.018175265303792123,0.5072504825972698,0.4935064935064935,77,0.6754043478260877,137,0.9562043795620438,-0.21511413873665994,-0.21463780571284163,-0.15369827211695808,-0.025853202657800778,0.9796066640296509,1.005380672985507,0.12773595222979583,1.0733729193890746,0.9836640116500178
SPY,daily,claude_opus:P1,news_plus_price,138,0.2753623188405797,-2.1360912515843364,0.9836640116500177,0.3698630136986301,73,0.7045898550724651,137,0.9124087591240876,-3.4104065148380416,-3.0090610086719773,-0.2293420867573972,-0.3661573528631574,0.7768260654972506,1.005380672985507,0.12773595222979583,1.0733729193890746,0.9836640116500178
SPY,daily,claude_opus:P2,news_plus_price,138,0.2971014492753623,-0.4078531298109608,0.6583092475585857,0.4675324675324675,77,0.6903202898550738,137,0.9854014598540146,-2.3237834160207216,-2.109224341730876,-0.17872314285460145,-0.27213083599275223,0.8370348219375976,1.005380672985507,0.12773595222979583,1.0733729193890746,0.9836640116500178
SPY,daily,claude_opus:P3,news_plus_price,138,0.2971014492753623,-0.19193603451887478,0.5761038446480892,0.4647887323943662,71,0.703413043478261,137,0.6058394160583942,-1.4709262951752464,-1.3655000040743042,-0.1555849800139959,-0.1943050089582904,0.8947902149692064,1.005380672985507,0.12773595222979583,1.0733729193890746,0.9836640116500178
BTC,daily,baseline_always_up,news_only,203,0.2561576354679803,,,0.46846846846846846,111,0.7469211822660099,202,0.0049504950495049506,-0.8580241002286186,-0.8563853954465462,-0.39532095233321174,-0.3490161169775572,0.7160680615379502,-0.8484206843743523,-0.34778963664716134,0.7182106282594084,
