asset,horizon,model,condition,n,accuracy,pt_stat,pt_p,pt_hit_rate,pt_n,brier,n_trades,turnover,sharpe,sortino,max_drawdown,cagr,final_equity,bh_sharpe,bh_cagr,bh_final_equity,pt_p_fdr
SPY,daily,baseline_always_up,news_only,138,0.35507246376811596,,,0.5903614457831325,83,0.697463768115942,137,0.0072992700729927005,0.9917802701661206,1.0064547465333937,-0.09133132097249064,0.12667830239974687,1.0722962789220758,1.005380672985507,0.12773595222979583,1.0733729193890746,
SPY,daily,baseline_buy_hold,news_only,138,0.35507246376811596,,,0.5903614457831325,83,0.697463768115942,137,0.0072992700729927005,0.9917802701661206,1.0064547465333937,-0.09133132097249064,0.12667830239974687,1.0722962789220758,1.005380672985507,0.12773595222979583,1.0733729193890746,
SPY,daily,baseline_random,news_only,138,0.41304347826086957,2.465989045969207,0.006831775633667555,0.6730769230769231,52,0.6622488811251572,137,0.8759124087591241,-0.6601301482586631,-0.7029502409331401,-0.10151975089510556,-0.07487697587500175,0.9588671818438622,1.005380672985507,0.12773595222979583,1.0733729193890746,0.12980373703968354
SPY,daily,baseline_momentum,news_only,138,0.2536231884057971,-1.5215133388605853,0.9359344667291575,0.42168674698795183,83,0.7794788325319675,137,1.0,-0.12727057461845978,-0.12151828963948011,-0.13540027488251616,-0.015617284973835077,0.9851484053869676,1.005380672985507,0.12773595222979583,1.0733729193890746,0.9359344667291575
SPY,daily,baseline_sentiment,news_only,138,0.35507246376811596,,,0.5903614457831325,83,0.8234455208310799,137,0.0072992700729927005,0.9917802701661206,1.0064547465333937,-0.09133132097249064,0.12667830239974687,1.0722962789220758,1.005380672985507,0.12773595222979583,1.0733729193890746,
SPY,daily,claude_opus:P0,news_only,138,0.2753623188405797,-1.0612198761491554,0.8557050057204864,0.45121951219512196,82,0.7001159420289872,137,0.8832116788321168,-3.7007915016398383,-3.243810239843601,-0.2545937460875334,-0.4138468565575181,0.753631289129418,1.005380672985507,0.12773595222979583,1.0733729193890746,0.9359344667291575
SPY,daily,claude_opus:P1,news_only,138,0.2971014492753623,-0.9301612202171807,0.8238561914037877,0.4936708860759494,79,0.7061434782608705,137,0.9124087591240876,-1.8335104880702886,-1.702867347143233,-0.1455895003439137,-0.239538544877394,0.8673187302936274,1.005380672985507,0.12773595222979583,1.0733729193890746,0.9359344667291575
SPY,daily,claude_opus:P2,news_only,138,0.2608695652173913,-0.9901525901698223,0.8389502292376025,0.45569620253164556,79,0.7099144927536246,137,0.8832116788321168,-3.1120937755467883,-2.747686111938834,-0.21711721218964608,-0.36177783851122935,0.789052699303791,1.005380672985507,0.12773595222979583,1.0733729193890746,0.9359344667291575
SPY,daily,claude_opus:P3,news_only,138,0.2971014492753623,-0.19193603451887478,0.5761038446480892,0.4647887323943662,71,0.703413043478261,137,0.6058394160583942,-1.4709262951752464,-1.3655000040743042,-0.1555849800139959,-0.1943050089582904,0.8947902149692064,1.005380672985507,0.12773595222979583,1.0733729193890746,0.9359344667291575
BTC,daily,baseline_always_up,news_only,203,0.2561576354679803,,,0.46846846846846846,111,0.7469211822660099,202,0.0049504950495049506,-0.8580241002286186,-0.8563853954465462,-0.39532095233321174,-0.3490161169775572,0.7160680615379502,-0.8484206843743523,-0.34778963664716134,0.7182106282594084,
