asset,horizon,model,condition,n,accuracy,pt_stat,pt_p,pt_hit_rate,pt_n,brier,n_trades,turnover,sharpe,sortino,max_drawdown,cagr,final_equity,bh_sharpe,bh_cagr,bh_final_equity
SPY,daily,baseline_always_up,news_only,221,0.27149321266968324,,,0.4580152671755725,131,0.7392533936651584,220,0.004545454545454545,-0.4298155803408543,-0.47290936638030556,-0.13445515056175272,-0.0719775804852355,0.9336847635426665,-0.4225055876549307,-0.0714409867130712,0.9346227245324112
SPY,daily,baseline_buy_hold,news_only,221,0.27149321266968324,,,0.4580152671755725,131,0.7392533936651584,220,0.004545454545454545,-0.4298155803408543,-0.47290936638030556,-0.13445515056175272,-0.0719775804852355,0.9336847635426665,-0.4225055876549307,-0.0714409867130712,0.9346227245324112
SPY,daily,baseline_random,news_only,221,0.29411764705882354,1.3812416223736284,0.08360234049153048,0.56,75,0.6740130128270923,220,0.8954545454545455,-1.3568690397255165,-1.3786061571039034,-0.1856794487008675,-0.16280374540523568,0.8569060885098866,-0.4225055876549307,-0.0714409867130712,0.9346227245324112
SPY,daily,baseline_momentum,news_only,221,0.2986425339366516,-0.03794631153709599,0.5151347558242416,0.5038167938931297,131,0.7520604918243438,220,0.8590909090909091,-1.5356726136243986,-1.4307327549859332,-0.2708214113603964,-0.2189265108609585,0.8037808532169909,-0.4225055876549307,-0.0714409867130712,0.9346227245324112
SPY,daily,baseline_sentiment,news_only,221,0.3076923076923077,-0.9774225334018067,0.8358199940604847,0.512,125,0.7646642557238781,220,0.05909090909090909,-0.33481085944881434,-0.3070231312627792,-0.09728879083250042,-0.05728858946450022,0.9465148529770028,-0.4225055876549307,-0.0714409867130712,0.9346227245324112
SPY,weekly,baseline_always_up,news_only,217,0.30414746543778803,,,0.4714285714285714,140,0.722926267281106,44,0.022727272727272728,-0.4054393902640318,-0.4296491730163091,-0.11350674130941607,-0.0647955581233447,0.9336738637365417,-0.39859464651737575,-0.06421948341603123,0.9346227245324129
SPY,weekly,baseline_buy_hold,news_only,217,0.30414746543778803,,,0.4714285714285714,140,0.722926267281106,44,0.022727272727272728,-0.4054393902640318,-0.4296491730163091,-0.11350674130941607,-0.0647955581233447,0.9336738637365417,-0.39859464651737575,-0.06421948341603123,0.9346227245324129
SPY,weekly,baseline_random,news_only,217,0.3686635944700461,0.06028063988827776,0.47596606051641,0.48148148148148145,81,0.6757055123206461,44,0.6363636363636364,-0.5197932429162663,-0.5268345739973317,-0.12484082804593855,-0.07913672032208241,0.9340973666255009,-0.39859464651737575,-0.06421948341603123,0.9346227245324129
SPY,weekly,baseline_momentum,news_only,217,0.24423963133640553,-2.920373804288187,0.998251941204752,0.37857142857142856,140,0.8449516368097675,44,1.4318181818181819,-0.6256441440972871,-0.6052818455196458,-0.19919368540273275,-0.12666593034242657,0.9049061855587895,-0.39859464651737575,-0.06421948341603123,0.9346227245324129
SPY,weekly,baseline_sentiment,news_only,217,0.29493087557603687,-2.667661031556112,0.9961809361883163,0.45864661654135336,133,0.7744205755384826,44,0.11363636363636363,-0.021567982288635226,-0.02183522089508494,-0.08792578055927125,-0.001456128941273116,0.9856663267145748,-0.39859464651737575,-0.06421948341603123,0.9346227245324129
SPY,monthly,baseline_always_up,news_only,201,0.2537313432835821,,,0.4322033898305085,118,0.7481343283582089,10,0.1,-0.3828993880830115,-0.4252519547148646,-0.0687591438864279,-0.02156641870700804,0.9485964560827179,-0.3741410028226502,-0.02094431205059799,0.9495408970136023
SPY,monthly,baseline_buy_hold,news_only,201,0.2537313432835821,,,0.4322033898305085,118,0.7481343283582089,10,0.1,-0.3828993880830115,-0.4252519547148646,-0.0687591438864279,-0.02156641870700804,0.9485964560827179,-0.3741410028226502,-0.02094431205059799,0.9495408970136023
SPY,monthly,baseline_random,news_only,201,0.31343283582089554,-0.6700134744568461,0.7485753996951209,0.41935483870967744,62,0.6871333708456896,10,0.9,-1.6556611098540852,-1.4706559576133715,-0.18342330602749046,-0.18690309253486492,0.8562621203327389,-0.3741410028226502,-0.02094431205059799,0.9495408970136023
SPY,monthly,baseline_momentum,news_only,201,0.23880597014925373,-2.6339194141184086,0.9957797240889587,0.4067796610169492,118,0.9370016943890814,10,1.5,-1.0467733677359805,-1.1095093674163283,-0.1663189600012167,-0.11351595730850239,0.880919405819056,-0.3741410028226502,-0.02094431205059799,0.9495408970136023
